timestamp,group,k,free_energy,active_states,training_time,avg_switching_rate,fractional_occupancy,lifetimes
,controls,4,469045.80,4,9.52,0.027096,0.1590;0.3822;0.2401;0.2188,20.63;21.90;15.51;14.13
,meditators,4,472289.02,4,7.82,0.028939,0.2399;0.1838;0.3404;0.2360,14.67;24.62;18.27;15.33
,controls,5,463045.16,5,13.86,0.023341,0.2255;0.1400;0.1435;0.2969;0.1941,14.56;19.65;17.06;20.09;13.32
,meditators,5,467985.57,5,11.21,0.027761,0.1568;0.1784;0.1934;0.2704;0.2009,24.88;12.07;11.34;15.17;13.65
