group,n_states,standardization,networks,test_free_energy,test_log_likelihood
controls,3,bygroup,8,74071.91568056263,-63535.60504628739
controls,4,bygroup,8,74954.9689526634,-62783.00016187605
controls,5,bygroup,8,77184.71760040565,-62303.066141398915
controls,6,bygroup,8,78798.30720817792,-61476.225331166876
controls,7,bygroup,8,80642.64264047354,-61609.62735033802
controls,8,bygroup,8,82797.46585100323,-61325.55885999245
meditators,3,bygroup,8,74030.23837064029,-66300.90440585786
meditators,4,bygroup,8,75263.45431949443,-64655.62503022077
meditators,5,bygroup,8,76493.14918451724,-63611.37687941115
meditators,6,bygroup,8,78492.92886947186,-63283.404510339155
meditators,7,bygroup,8,80356.93242835204,-63429.41983504401
meditators,8,bygroup,8,81367.30214556906,-62989.615354965645
