group,n_states,standardization,networks,test_free_energy,test_log_likelihood
controls,3,persequence,7,62003.30589059345,-55967.094157466745
controls,4,persequence,7,62422.142562326415,-54751.12567077324
controls,5,persequence,7,63515.81536633682,-54342.36365576503
controls,6,persequence,7,64487.05474433062,-53832.28384103378
controls,7,persequence,7,65704.94881231949,-53596.798152916344
controls,8,persequence,7,67230.80792830812,-54017.185163494585
meditators,3,persequence,7,63407.12445819601,-58309.855331773724
meditators,4,persequence,7,63769.689158222594,-57098.725477537795
meditators,5,persequence,7,64416.14343700256,-56407.334715075835
meditators,6,persequence,7,65769.41302160747,-56133.4278379798
meditators,7,persequence,7,66988.68611927703,-55949.53060923514
meditators,8,persequence,7,68292.23075929692,-55926.44996395841
