timestamp,group,k,free_energy,active_states,training_time,avg_switching_rate,fractional_occupancy,lifetimes
,controls,4,463680.92,4,7.60,0.027001,0.2233;0.3360;0.1843;0.2565,14.69;19.70;28.03;16.00
,meditators,4,473078.24,4,8.30,0.023791,0.2480;0.2079;0.2507;0.2934,16.86;25.21;22.67;19.36
,controls,5,462051.42,5,13.54,0.021557,0.1324;0.1706;0.3179;0.1720;0.2072,17.83;13.08;20.06;27.89;15.96
,meditators,5,468344.89,5,14.08,0.023098,0.1747;0.2776;0.1812;0.1820;0.1846,14.24;19.84;12.55;13.07;31.65
