timestamp,group,k,free_energy,active_states,training_time,avg_switching_rate,fractional_occupancy,lifetimes
,controls,4,538790.43,4,15.55,0.025200,0.1585;0.3592;0.2329;0.2494,28.52;22.72;15.81;16.17
,meditators,4,543118.27,4,11.46,0.026804,0.2431;0.3354;0.2346;0.1870,15.03;20.34;15.20;28.64
,controls,5,534481.61,5,14.90,0.021414,0.3156;0.1895;0.1724;0.1446;0.1779,22.17;14.05;30.37;17.13;13.32
,meditators,5,541158.74,5,17.49,0.025855,0.2343;0.2046;0.1367;0.1964;0.2280,20.36;13.46;18.90;12.67;14.15
