timestamp,group,k,free_energy,active_states,training_time,avg_switching_rate,fractional_occupancy,lifetimes
,controls,4,466870.78,4,11.85,0.025384,0.1800;0.2360;0.2267;0.3573,29.26;15.50;15.65;21.58
,meditators,4,472619.97,4,14.31,0.025123,0.1994;0.1912;0.3828;0.2266,25.64;14.82;22.95;16.73
,controls,5,460954.50,5,17.44,0.023225,0.2897;0.1730;0.2075;0.1953;0.1344,23.12;28.27;14.72;13.45;11.05
,meditators,5,469178.23,5,18.83,0.021522,0.1919;0.2526;0.1823;0.1829;0.1904,15.98;17.35;28.10;12.80;18.30
