timestamp,group,k,free_energy,active_states,training_time,avg_switching_rate,fractional_occupancy,lifetimes
,controls,4,535389.69,4,12.19,0.025392,0.2199;0.3718;0.2659;0.1424,15.16;22.67;16.98;23.74
,meditators,4,543308.59,4,12.60,0.027955,0.3941;0.2139;0.2066;0.1854,24.46;15.02;13.59;16.39
,controls,5,535863.48,5,16.05,0.023445,0.2927;0.1285;0.1919;0.1861;0.2008,21.28;24.83;14.35;13.29;14.07
,meditators,5,541510.36,5,16.60,0.024911,0.3011;0.2296;0.1243;0.1571;0.1879,19.29;14.47;17.20;14.71;13.59
