timestamp,group,k,free_energy,active_states,training_time,avg_switching_rate,fractional_occupancy,lifetimes
,controls,3,544050.35,3,8.12,0.028775,0.2389;0.4605;0.3006,20.91;29.13;17.74
,meditators,3,549595.35,3,9.94,0.030248,0.2937;0.2145;0.4919,17.50;19.68;29.03
,controls,4,540390.02,4,13.73,0.026174,0.3847;0.1189;0.2632;0.2331,22.19;24.66;15.61;15.23
,meditators,4,546411.63,4,12.93,0.029962,0.3513;0.2061;0.2420;0.2007,20.74;12.36;15.40;19.66
,controls,5,534010.70,5,18.33,0.026599,0.1637;0.2996;0.2230;0.1174;0.1963,9.66;21.85;13.01;24.54;12.51
,meditators,5,539800.67,5,15.33,0.027032,0.2003;0.2090;0.3110;0.1197;0.1601,10.84;14.61;20.07;22.43;10.42
,controls,6,531449.29,6,18.96,0.021236,0.1686;0.2058;0.2141;0.1488;0.1441;0.1186,14.19;13.83;13.59;12.38;19.67;24.13
,meditators,6,537162.83,6,19.26,0.022763,0.1735;0.1605;0.1244;0.1885;0.1678;0.1853,13.14;11.97;20.63;12.20;14.45;18.81
,controls,7,530151.81,7,25.65,0.019569,0.1362;0.1197;0.1191;0.1187;0.1430;0.2032;0.1601,11.81;14.07;14.06;23.65;11.92;15.44;13.83
,meditators,7,535142.64,7,23.45,0.020430,0.1351;0.1194;0.1476;0.1472;0.1951;0.0802;0.1754,9.48;21.02;12.20;14.03;22.28;12.56;13.16
,controls,8,527961.57,8,28.53,0.018018,0.0969;0.1190;0.1704;0.1469;0.0740;0.1888;0.1362;0.0679,12.59;23.27;11.75;11.32;12.76;12.81;14.66;15.39
,meditators,8,533349.02,8,34.14,0.018183,0.1679;0.0606;0.1245;0.1442;0.0971;0.1407;0.1393;0.1257,17.88;11.63;17.02;12.13;16.12;12.34;9.84;18.76
