timestamp,group,k,free_energy,active_states,training_time,avg_switching_rate,fractional_occupancy,lifetimes
,controls,4,540345.74,4,13.97,0.025151,0.2367;0.1484;0.2445;0.3704,15.61;29.48;15.90;22.59
,meditators,4,543240.45,4,10.05,0.028243,0.2091;0.2599;0.3793;0.1517,14.18;15.64;21.53;20.85
,controls,5,534791.03,5,15.41,0.024732,0.1295;0.2080;0.2155;0.2380;0.2090,24.10;13.76;21.20;14.29;13.98
,meditators,5,539410.77,5,11.60,0.025293,0.2390;0.1446;0.1856;0.2580;0.1728,14.83;20.02;13.14;15.58;20.79
